Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.320662191143063,0.002300584900980807
NAWG0051,0.3206950921088715,0.0023473761832997916
NACW0S01,0.6741880106603569,0.0007272509405702377
NDMA5790,0.3071973577740101,0.005108528132315182
NAWG0050,0.3206347399953109,0.002289257609539584
NDWDBT0M,0.49617934099781336,0.00042621904003480005
NDMA5740,0.5324312282499504,0.0006092924891232216
NDWDBT0I,0.4961950444375259,0.0003725806975494897
NACAH030,1.0283078343414358,0.4867658433562372
NDWDBT0G,0.49615273825275724,0.0003954587979699957
NACAH040,0.8825681274843366,0.4422888898842882
NACAH050,0.974462940470081,0.4535096954452452
NDWDBT0K,0.49615206829654995,0.00037635056646552733
NDMA5715,0.09780885273806544,0.01090407183433187
