Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.005320191598466965,0.0033917608779769296
NAWG0051,0.005302496535937291,0.0030423360890705115
NACW0S01,0.007304264741653239,0.0031842352052794043
NDMA5790,0.004764371518180353,0.002702343117446076
NAWG0050,0.0047805805150221104,0.003291179116814792
NDWDBT0M,0.005159813367849928,0.002783152720039435
NDMA5740,0.004632036743954004,0.0026531457823823572
NDWDBT0I,0.005253611309440926,0.002903431387221048
NACAH030,1.0283557973782478,0.5228464077828275
NDWDBT0G,0.005073357663168024,0.0025566916788496994
NACAH040,0.892724679279867,0.4750910434838536
NACAH050,0.9755729437227961,0.47099931858666677
NDWDBT0K,0.004833008160951197,0.003004808864598905
NDMA5715,0.008377869114025658,0.008274715342321513
