Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,1.4770254883969098,0.0050628002127497
NAWG0051,1.4770286090940496,0.005081379161274583
NACW0S01,2.1572415269961436,0.003511645130585843
NDMA5790,1.66684040093399,0.01036991523067056
NAWG0050,1.4770402926954729,0.005075530116937882
NDWDBT0M,1.744807910913704,0.00011062607598117974
NDMA5740,1.8529513163917344,0.0001683012896497099
NDWDBT0I,1.7448059048821312,0.00011510880936611572
NACAH030,1.0271102438664665,0.4886604539802069
NDWDBT0G,1.744812669338761,0.00011946128444836903
NACAH040,0.8813959327566401,0.44254896720001613
NACAH050,0.9764508864137692,0.45525096200690923
NDWDBT0K,1.7448150977810009,0.00012207297665008888
NDMA5715,1.0520446582675744,0.0209955221289015
