Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.006638036003139891,0.0018432700096288027
NAWG0051,0.006574600365783676,0.0018930634734676299
NACW0S01,0.013840942350573253,0.0023577923730557313
NDMA5790,0.012340202689400117,0.0025215802462660282
NAWG0050,0.006942563653300404,0.001992596484502403
NDWDBT0M,0.012542328754542566,0.0023220126674583365
NDMA5740,0.013818159192485698,0.0029153681730741945
NDWDBT0I,0.012841143528102138,0.0021906089125653875
NACAH030,1.0231617326270857,0.5058882216545108
NDWDBT0G,0.012963973203776576,0.0020829567219385475
NACAH040,0.8915637824212165,0.4555260742376064
NACAH050,0.9685758325507109,0.4526180823997203
NDWDBT0K,0.012794327655909755,0.0018737045291353953
NDMA5715,0.0035869144029792733,0.0031901842591224613
