Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.0013706297219516438,0.0012409329991090933
NAWG0051,0.001396446122053796,0.0012419593944838101
NACW0S01,0.01625998970622511,0.0018033825667509078
NDMA5790,0.01042450225376169,0.0024119941193523338
NAWG0050,0.0013371093752369424,0.001235219423474124
NDWDBT0M,0.009619209686396814,0.0011294606241958169
NDMA5740,0.011325616925639994,0.00321871017529408
NDWDBT0I,0.009658995786784388,0.0011588941849787408
NACAH030,1.031280744465075,0.5113841890801782
NDWDBT0G,0.009671373287318446,0.001105658476853533
NACAH040,0.8882272519749667,0.45723702190482396
NACAH050,0.9637087857772773,0.45927253845828453
NDWDBT0K,0.009509627739070154,0.0012444944800332975
NDMA5715,0.014072742684082967,0.003854044933285865
