Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.05214227580073206,0.002531451189659527
NAWG0051,0.051706442263748154,0.0026447513206837503
NACW0S01,0.08929119941348523,0.0029725905634639662
NDMA5790,0.08979470527195015,0.003540187659154475
NAWG0050,0.052237166762660145,0.002426872616931141
NDWDBT0M,0.07066117159473727,0.002660557608540232
NDMA5740,0.07204682716695775,0.0027172417918287805
NDWDBT0I,0.07012568942653964,0.002841879412015861
NACAH030,1.0210408873706027,0.49347474868680297
NDWDBT0G,0.07056488505947421,0.002747471105721398
NACAH040,0.8853508564148062,0.457162761745712
NACAH050,0.9779865698323964,0.453088955861707
NDWDBT0K,0.07082390181171724,0.0029702616081159054
NDMA5715,0.06259533459536526,0.005423335923992363
