Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.11865498327257956,0.001884135572135765
NAWG0051,0.1184476524859924,0.0019611441707462042
NACW0S01,0.310756639209933,0.002001201452207987
NDMA5790,0.177452919841042,0.005081221426548838
NAWG0050,0.11857561290294943,0.001984740747388114
NDWDBT0M,0.2185573851262314,0.0015553590558979042
NDMA5740,0.23731754192678434,0.001659937640299527
NDWDBT0I,0.21896196357357334,0.0017224626143458595
NACAH030,1.0245889302873485,0.48537076149116576
NDWDBT0G,0.21854187122928928,0.0017760799246995525
NACAH040,0.8689456514142203,0.457597039697938
NACAH050,0.9761718053312195,0.46024624116893226
NDWDBT0K,0.21889560691463777,0.0018085151286521839
NDMA5715,0.1598825996576974,0.012170788015671043
