Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.3075346877479824,0.0023164149213391874
NAWG0051,0.3075156528026123,0.002303366246143431
NACW0S01,0.6503524088537165,0.0015898694429890613
NDMA5790,0.2979355350735096,0.005449979998064241
NAWG0050,0.3076069587472183,0.0023117350183194055
NDWDBT0M,0.4747950004731399,0.0011792694157411472
NDMA5740,0.5130328298505973,0.0015402565058530158
NDWDBT0I,0.4748966430817825,0.0010004346098039254
NACAH030,1.0273269006300374,0.48624328355628355
NDWDBT0G,0.4746857582722885,0.0011682497188958254
NACAH040,0.8819677247589418,0.44554336798544314
NACAH050,0.9728301254014933,0.45153853678243894
NDWDBT0K,0.4747494398747665,0.0010851692746966645
NDMA5715,0.09227802688471767,0.007998086459112867
