Sensor,Mean Absolute Error,Standard Deviation of the loss
NACW0S00,0.015964206686046995,0.001101334319225758
NAWG0051,0.016148856309082017,0.0010336174104993625
NACW0S01,0.038310804334826185,0.0013536917277600774
NDMA5790,0.02398020064853708,0.002556918952447542
NAWG0050,0.016338846087763904,0.0011915485869248657
NDWDBT0M,0.02920339099514315,0.0015039456569245204
NDMA5740,0.031200542539043318,0.0018235140317069015
NDWDBT0I,0.029377168336985802,0.0013274915653382349
NACAH030,1.0289309067446808,0.5077316918334942
NDWDBT0G,0.02941655866253207,0.001410560914671405
NACAH040,0.8775276677590155,0.44972289506894497
NACAH050,0.9723132337427215,0.45482149666883065
NDWDBT0K,0.02937302462208102,0.0015931260593275121
NDMA5715,0.021810436791105,0.002387473246395178
